layer,sg,name,st,co,start,end,status,ocius,mi,hh_rem,nepa_status,nepa_approved_mi,nepa_blocked_mi,nepa_packages
pre-2026 still active,CA-3931,Concordia Parish-NONE-CA-3931-Construction Area - Jonesville Extended,LA,Concordia Parish,2024-10-01,2024-10-31,In Construction,210,1.43,28,clear,1.85,0.0,SUB-17
pre-2026 still active,CA-4292,West Feliciana Parish-NONE-CA-4292-Construction Area - Weyanoke,LA,West Feliciana Parish,2024-12-01,2025-03-31,In Construction,126,67.87,743,blocked,0.0,11.7,SUB-19
pre-2026 still active,CA-4348,West Feliciana Parish-NONE-CA-4348-Construction Area - Wakefield,LA,West Feliciana Parish,2024-12-01,2025-03-31,In Construction,125,46.8,774,blocked,0.0,6.5,SUB-19
pre-2026 still active,CA-4397,West Feliciana Parish-NONE-CA-4397-Construction Area - St Francisville,LA,West Feliciana Parish,2024-12-01,2025-02-28,In Construction,123,22.99,250,blocked,0.0,3.37,SUB-19
scheduled start,CA-7484,Ashley County-NONE-CA-7484-Construction Area - Wilmot Legacy,AR,Ashley County,2025-01-01,2025-01-31,not_started,0,0.0,0,no_data,0.0,0.0,
pre-2026 still active,CA-6892,Sabine Parish-NONE-CA-6892-Construction Area - Zwolle Construction Area,LA,Sabine Parish,2025-02-01,2025-07-31,In Construction,174,42.27,1745,clear,26.3,0.0,SUB-4
pre-2026 still active,CA-7591,Natchitoches Parish-NONE-CA-7591-Construction Area - Natchez,LA,Natchitoches Parish,2025-06-01,2025-10-31,In Construction,276,39.48,873,blocked,0.0,22.6,SUB-20
pre-2026 still active,CA-8464,Wilkinson County-NONE-CA-8464-Construction Area - Woodville,MS,Wilkinson County,2025-07-01,2025-09-30,In Construction,342,3.86,281,no_data,0.0,0.0,
pre-2026 still active,CA-8465,Wilkinson County-NONE-CA-8465-Construction Area - Centreville,MS,Wilkinson County,2025-07-01,2025-09-30,In Construction,362,3.02,385,no_data,0.0,0.0,
pre-2026 still active,CA-8486,Winn Parish-NONE-CA-8486-Construction Area - Winnfield South,LA,Winn Parish,2025-07-01,2025-11-30,In Construction,325,13.66,130,partial,1.3,2.82,"SUB-20, SUB-21"
pre-2026 still active,CA-8475,Jefferson Davis Parish-NONE-CA-8475-Construction Area - Jefferson Davis Norwest 1 RDOF,LA,Jefferson Davis Parish,2025-08-01,2026-02-28,In Construction,326,75.98,906,blocked,0.0,12.32,SUB-31
pre-2026 still active,CA-8480,Allen Parish-NONE-CA-8480-Construction Area - Jefferson Davis Kinder Transport,LA,Allen Parish,2025-08-01,2025-08-31,In Construction,327,2.84,16,no_data,0.0,0.0,
scheduled start,CA-8914,Allen Parish-NONE-CA-8914-Construction Area - Allen Gumbo Redesign,LA,Allen Parish,2025-08-01,2025-08-31,not_started,0,0.0,0,no_data,0.0,0.0,
pre-2026 still active,CA-9805,Natchitoches Parish-NONE-CA-9805-Construction Area - Natchitoches RDOF remaining,LA,Natchitoches Parish,2025-08-01,2025-08-31,in_construction,0,3.11,12,blocked,0.0,0.29,SUB-20
scheduled start,DA-6773,Natchitoches Parish-NONE-DA-6773-APPROVEDDESIGNAREAS - Natchitoches Transport,LA,Natchitoches Parish,2025-08-01,2025-08-31,not_started,0,4.26,1055,blocked,0.0,9.75,SUB-20
pre-2026 still active,CA-8473,Jefferson County-NONE-CA-8473-Construction Area - CPF_BEAM_Fayette,MS,Jefferson County,2025-09-01,2025-11-30,In Construction,349,0.0,5,no_data,0.0,0.0,
pre-2026 still active,CA-8487,St. Helena Parish-NONE-CA-8487-Construction Area - St Helena West,LA,St. Helena Parish,2025-09-01,2025-11-30,In Construction,329,12.77,142,blocked,0.0,0.86,SUB-19
pre-2026 still active,CA-8500,Winn Parish-NONE-CA-8500-Construction Area - Sikes Service Area,LA,Winn Parish,2025-09-01,2026-01-31,In Construction,364,58.52,291,clear,8.62,0.0,SUB-21
pre-2026 still active,CA-8501,Winn Parish-NONE-CA-8501-Construction Area - Gansville Service Area,LA,Winn Parish,2025-09-01,2025-12-31,In Construction,345,5.46,189,clear,1.18,0.0,SUB-21
pre-2026 still active,CA-8502,Winn Parish-NONE-CA-8502-Construction Area - Calvin Winn North,LA,Winn Parish,2025-09-01,2026-01-31,In Construction,346,0.0,1,no_data,0.0,0.0,
pre-2026 still active,CA-8930,Natchitoches Parish-NONE-CA-8930-Construction Area - Lotus,LA,Natchitoches Parish,2025-09-01,2025-09-30,in_construction,0,9.56,19,blocked,0.0,9.81,SUB-20
scheduled start,DA-8510,Red River Parish-NONE-DA-8510-APPROVEDDESIGNAREAS - Martin West,LA,Red River Parish,2025-09-01,2025-10-31,not_started,0,5.15,70,no_data,0.0,0.0,
pre-2026 still active,CA-8498,Red River Parish-NONE-CA-8498-Construction Area - Martin Preterm 1,LA,Red River Parish,2025-10-01,2026-01-31,In Construction,367,0.0,0,no_data,0.0,0.0,
pre-2026 still active,CA-8499,Red River Parish-NONE-CA-8499-Construction Area - Cross Roads Service Area,LA,Red River Parish,2025-10-01,2026-02-28,In Construction,366,60.78,682,blocked,0.0,4.24,SUB-20
pre-2026 still active,CA-8915,Winn Parish-NONE-CA-8915-Construction Area - Winn Transport,LA,Winn Parish,2025-10-01,2026-02-28,In Construction,365,32.03,757,partial,5.25,5.96,"SUB-20, SUB-21"
pre-2026 still active,CA-8505,Faulkner County-NONE-CA-8505-Construction Area - Mayflower West,AR,Faulkner County,2025-11-01,2026-05-31,In Construction,363,63.56,1655,no_data,0.0,0.0,
pre-2026 still active,CA-8506,Faulkner County-NONE-CA-8506-Construction Area - Mayflower East,AR,Faulkner County,2025-11-01,2026-05-31,In Construction,358,24.89,413,no_data,0.0,0.0,
pre-2026 still active,CA-8924,Natchitoches Parish-NONE-CA-8924-Construction Area - Winnfield to Fair View Alpha Transport,LA,Natchitoches Parish,2025-11-01,2025-11-30,Loaded,380,6.07,63,blocked,0.0,1.18,SUB-20
2026 in construction,CA-8916,Winn Parish-NONE-CA-8916-Construction Area - Winn East,LA,Winn Parish,2026-01-01,2026-03-31,In Construction,393,6.47,152,clear,11.7,0.0,SUB-21
2026 in construction,CA-8929,Natchitoches Parish-NONE-CA-8929-Construction Area - NE Natchitoches,LA,Natchitoches Parish,2026-01-01,2026-02-28,Loaded,390,22.06,31,no_data,0.0,0.0,
2026 not started,CA-8932,Winn Parish-NONE-CA-8932-Construction Area - St Maurice - Winn,LA,Winn Parish,2026-01-01,2026-06-30,not_started,387,0.0,27,blocked,0.0,6.24,SUB-20
2026 in construction,CA-8947,Natchitoches Parish-NONE-CA-8947-Construction Area - St Maurice,LA,Natchitoches Parish,2026-01-01,2026-03-31,Loaded,389,21.22,344,blocked,0.0,21.69,SUB-20
2026 in construction,CA-8949,Winn Parish-NONE-CA-8949-Construction Area - NW Winn,LA,Winn Parish,2026-01-01,2026-01-31,Loaded,391,0.0,0,no_data,0.0,0.0,
2026 in construction,CA-8920,St. Landry Parish-NONE-CA-8920-Construction Area - St Landry State Rds,LA,St. Landry Parish,2026-02-01,2026-05-31,In Construction,375,65.41,475,no_data,0.0,0.0,
2026 in construction,CA-8931,Rapides Parish-NONE-CA-8931-Construction Area - Pine Coupee,LA,Rapides Parish,2026-02-01,2026-06-30,Loaded,403,26.54,300,blocked,0.0,9.83,SUB-24
2026 in construction,CA-8941,Bienville Parish-NONE-CA-8941-Construction Area - Bienville RDOF,LA,Bienville Parish,2026-02-01,2026-05-31,Loaded,392,31.81,459,blocked,0.0,4.23,SUB-20
2026 in construction,CA-8959,Natchitoches Parish-NONE-CA-8959-Construction Area - Pine Coupee - Natchitoches,LA,Natchitoches Parish,2026-02-01,2026-03-31,Loaded,402,11.52,58,blocked,0.0,4.35,SUB-24
2026 in construction,CA-9365,Rapides Parish-NONE-CA-9365-Construction Area - Rapides North RDOF,LA,Rapides Parish,2026-02-01,2026-06-30,in_construction,423,50.87,828,blocked,0.0,45.73,SUB-24
2026 in construction,CA-8948,Tensas Parish-NONE-CA-8948-Construction Area - Tensas,LA,Tensas Parish,2026-03-01,2026-08-31,Loaded,407,124.12,1563,clear,91.15,0.0,SUB-17
2026 in construction,CA-8960,Evangeline Parish-NONE-CA-8960-Construction Area - Evangeline North,LA,Evangeline Parish,2026-03-01,2026-05-31,Loaded,416,74.84,1204,clear,47.59,0.0,"SUB-12, SUB-25"
2026 in construction,CA-8507,St. Landry Parish-NONE-CA-8507-Construction Area - St Landry Remaining,LA,St. Landry Parish,2026-04-01,2026-07-31,In Construction,409,69.28,970,no_data,0.0,0.0,
2026 in construction,CA-8943,Lamar County-NONE-CA-8943-Construction Area - Lamar County RDOF,MS,Lamar County,2026-04-01,2026-06-30,Loaded,404,27.36,416,no_data,0.0,0.0,
