parish,state,project,name,contrac_status,field_status,start_date,end_date,total_mi,mi_remain_plan,mi_remain_contrac_adj,passings,passings_remain_plan,passings_remain_contrac_adj,nepa_overlap_mi,nepa_approved_mi,nepa_blocked_mi,nepa_status,nepa_passing_at_risk,bead_passing,bead_complete_contrac_adj,bead_remain_contrac_adj,bead_rc_points_total,bead_rc_RC1_2,bead_rc_RC3,bead_rc_RC4,bead_rc_RC5_BDC,bead_rc_RC5_OTHER,bead_rc_Jason_Cut,labor_remain_usd,material_remain_usd,unsplit_remain_usd,mainline_remain_usd_total,labor_remain_source,reason_codes,ocius_project_id
Rapides Parish,LA,CDA-27346,Rapides Parish-NONE-CDA-27346-Stat Area - 2026 - CDA-27346,(no ROQ job),not_started,2026-08-01,2028-05-31,151.01,151.01,151.01,16061.0,16061.0,16061.0,50.09,0.0,50.09,blocked,16061.0,283.0,0.0,283.0,41,1,40,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Acadia Parish,LA,CDA-25746,Acadia Parish-NONE-CDA-25746-Stat Area - 2026 - CDA-25746,(no ROQ job),not_started,2026-08-01,2028-04-30,148.26,148.26,148.26,9066.0,9066.0,9066.0,145.35,33.02,112.33,partial,9066.0,813.0,0.0,813.0,69,1,68,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
St. Martin Parish,LA,CDA-27394,St. Martin Parish-NONE-CDA-27394-Stat Area - 2027 - CDA-27394,(no ROQ job),not_started,2026-10-01,2027-05-31,124.87,124.87,124.87,6260.0,6260.0,6260.0,77.08,0.0,77.08,blocked,6260.0,417.0,0.0,417.0,47,0,38,0,0,0,9,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Jefferson Davis Parish,LA,CA-9813,Jefferson Davis Parish-NONE-CA-9813-Construction Area - Jennings Service Area,(no ROQ job),,2027-05-01,2027-07-31,103.51,103.51,103.51,6068.0,6068.0,6068.0,61.43,61.43,0.0,clear,0.0,238.0,0.0,238.0,13,0,12,0,0,0,1,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Rapides Parish,LA,CDA-27341,Rapides Parish-NONE-CDA-27341-Stat Area - 2026 - CDA-27341,(no ROQ job),not_started,2026-11-01,2027-06-30,86.9,86.9,86.9,5978.0,5978.0,5978.0,30.68,0.0,30.68,blocked,5978.0,450.0,0.0,450.0,20,0,17,0,0,0,3,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Iberia Parish,LA,CDA-27365,Iberia Parish-NONE-CDA-27365-Stat Area - 2027 - CDA-27365,(no ROQ job),not_started,2027-08-01,2028-02-29,67.77,67.77,67.77,5944.0,5944.0,5944.0,19.6,0.0,19.6,blocked,5944.0,105.0,0.0,105.0,12,0,12,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Acadia Parish,LA,CDA-25744,Acadia Parish-NONE-CDA-25744-Stat Area - 2026 - CDA-25744,(no ROQ job),not_started,2026-08-01,2026-11-30,6.52,6.52,6.52,4519.0,4519.0,4519.0,17.71,4.11,13.6,partial,4519.0,48.0,0.0,48.0,5,0,5,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Iberia Parish,LA,CDA-27371,Iberia Parish-NONE-CDA-27371-Stat Area - 2027 - CDA-27371,(no ROQ job),not_started,2027-02-01,2027-07-31,70.77,70.77,70.77,4223.0,4223.0,4223.0,76.25,0.0,76.25,blocked,4223.0,366.0,0.0,366.0,33,0,25,0,0,0,8,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Webster Parish,LA,CDA-26946,Webster Parish-NONE-CDA-26946-Stat Area - 2026 - CDA-26946,(no ROQ job),not_started,2026-11-01,2027-06-30,67.07,67.07,67.07,4161.0,4161.0,4161.0,45.03,45.03,0.0,clear,0.0,150.0,0.0,150.0,21,1,20,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Rapides Parish,LA,CDA-27345,Rapides Parish-NONE-CDA-27345-Stat Area - 2026 - CDA-27345,(no ROQ job),not_started,2027-02-01,2027-07-31,61.11,61.11,61.11,3932.0,3932.0,3932.0,30.25,0.0,30.25,blocked,3932.0,247.0,0.0,247.0,15,0,9,0,0,0,6,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Allen Parish,LA,CA-9393,Allen Parish-NONE-CA-9393-Construction Area - FW - EACAM Build 1,(no ROQ job),,2027-04-01,2027-10-31,324.41,316.35,316.35,3931.0,3931.0,3931.0,11.97,0.99,10.98,partial,3931.0,2.0,0.0,2.0,2,0,0,0,0,0,2,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Rapides Parish,LA,CDA-27342,Rapides Parish-NONE-CDA-27342-Stat Area - 2026 - CDA-27342,(no ROQ job),not_started,2026-10-01,2027-05-31,99.55,99.55,99.55,3850.0,3850.0,3850.0,107.18,0.0,107.18,blocked,3850.0,1108.0,0.0,1108.0,67,0,56,0,0,0,11,,,,,no_ocius_job_match,"wave1_retimed_pass1, parent_resized_after_child, wave1_habit_resize, wave1_2026_q4_retime",
Lincoln Parish,LA,CDA-27360,Lincoln Parish-NONE-CDA-27360-Stat Area - 2027 - CDA-27360,(no ROQ job),not_started,2026-10-01,2027-05-31,122.12,122.12,122.12,3682.0,3682.0,3682.0,74.6,74.6,0.0,clear,0.0,471.0,0.0,471.0,33,0,32,1,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Lafayette Parish,LA,CDA-27374,Lafayette Parish-NONE-CDA-27374-Stat Area - 2026 - CDA-27374,(no ROQ job),not_started,2026-10-01,2027-05-31,87.88,87.88,87.88,3133.0,3133.0,3133.0,75.03,0.0,75.03,blocked,3133.0,1319.0,0.0,1319.0,71,0,71,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Rapides Parish,LA,CDA-27344,Rapides Parish-NONE-CDA-27344-Stat Area - 2026 - CDA-27344,(no ROQ job),not_started,2027-08-01,2028-02-29,30.32,30.32,30.32,3121.0,3121.0,3121.0,4.95,0.0,4.95,blocked,3121.0,80.0,0.0,80.0,7,0,7,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Grant Parish,LA,CA-9803,Grant Parish-NONE-CA-9803-Construction Area - Grant South - 2026,(no ROQ job),,2027-01-01,2027-03-31,74.76,72.97,72.97,3026.0,3025.0,3025.0,71.42,0.0,71.42,blocked,3025.0,1067.0,0.4,1066.6,77,0,42,0,1,32,2,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Vernon Parish,LA,CDA-26549,Vernon Parish-NONE-CDA-26549-Stat Area - 2027 - CDA-26549,(no ROQ job),not_started,2026-08-01,2027-06-30,52.17,52.17,52.17,2991.0,2991.0,2991.0,31.28,0.0,31.28,blocked,2991.0,327.0,0.0,327.0,39,0,24,0,0,15,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Rapides Parish,LA,CDA-27348,Rapides Parish-NONE-CDA-27348-Stat Area - 2026 - CDA-27348,(no ROQ job),not_started,2026-08-01,2027-07-31,105.6,105.6,105.6,2914.0,2914.0,2914.0,91.42,55.53,35.89,partial,2914.0,1228.0,0.0,1228.0,218,0,73,0,12,130,3,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Iberia Parish,LA,CDA-27367,Iberia Parish-NONE-CDA-27367-Stat Area - 2027 - CDA-27367,(no ROQ job),not_started,2026-10-01,2027-05-31,76.19,76.19,76.19,2753.0,2753.0,2753.0,60.76,0.0,60.76,blocked,2753.0,1168.0,0.0,1168.0,77,0,75,0,0,0,2,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Jefferson Davis Parish,LA,CA-9812,Jefferson Davis Parish-NONE-CA-9812-Construction Area - Lake Arthur Service Area,(no ROQ job),,2027-05-01,2027-07-31,76.36,76.36,76.36,2741.0,2741.0,2741.0,29.85,29.85,0.0,clear,0.0,247.0,0.0,247.0,22,0,16,0,0,0,6,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Jefferson Davis Parish,LA,CA-9809,Jefferson Davis Parish-NONE-CA-9809-Construction Area - Welsh Service Area,(no ROQ job),,2027-05-01,2027-07-31,98.15,98.15,98.15,2562.0,2562.0,2562.0,44.79,4.28,40.51,partial,2562.0,219.0,0.0,219.0,33,0,20,1,0,0,12,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
